2000 Coord,Discov,Comp,PA_l,Sep_l,id_1,mag_1,ra_deg_1,dec_deg_1,id_2,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag_2,ra_deg_2,dec_deg_2,theta_measured,rho_measured,mag_diff
22039+5949,STT 461,AB,297.0,11.1,72,-4.605938997136329,330.9745182247565,59.81501578648708,71,1932.750439624126,1308.6016003099269,0.302447260966407,-0.1288583081984213,-0.3665959756676825,169,0.0,65453.0,68.95212673252834,-4.5963691648205485,330.97314512953676,59.814582481853705,237.8871821688716,2.9343602675415346,0.00956983231578068
22039+5949,STT 461,AB,297.0,11.1,91,-4.614750554663404,330.97383007795145,59.81446526963855,92,1927.7013404859345,1311.8837400390125,0.3251081851730333,0.11537943196821956,0.2539577866393506,169,0.0,65454.0,72.97234243536768,-4.657895718668063,330.97391442526447,59.81496123975837,4.887350946194572,1.7920080381985106,-0.04314516400465873
22039+5949,STT 461,AB,297.0,11.1,92,-4.657895718668063,330.97391442526447,59.81496123975837,90,1901.9428843682488,1304.7748524992398,0.39158439224058006,0.3013568055880055,-0.04114445967579917,169,0.0,876.0,1.2298865204162706,-0.2246626041460388,330.969889159205,59.81905695059046,333.7070255079491,16.44630226333154,4.433233114522024
22039+5949,STT 461,AB,297.0,11.1,90,-4.694096759343785,330.97395836625014,59.814958222177786,89,1901.0981349066353,1303.9646548167345,0.25889753730000753,0.4457649290486877,-0.06103789034844125,169,0.0,780.0,1.4244937309327215,-0.38415135572302006,330.9697250832723,59.81898520681177,332.1444820925398,16.397375452489094,4.309945403620765
22039+5949,STT 461,AB,297.0,11.1,89,-4.596990493922597,330.9737880784161,59.8144814341225,88,1918.0008874702607,1296.9506654659592,0.3398873553908593,-0.8429383590042583,-0.1841117079788479,169,0.0,6143.0,8.98682929903233,-2.384016231328975,330.9685448808991,59.81599725627986,299.9010261002499,10.94744107535997,2.212974262593622
22039+5949,STT 461,AB,297.0,11.1,91,-4.596140527317269,330.97435708274014,59.814813225201064,88,1918.0008874702607,1296.9506654659592,0.3398873553908593,-0.8429383590042583,-0.1841117079788479,169,0.0,6143.0,8.98682929903233,-2.384016231328975,330.9685448808991,59.81599725627986,292.0588551787199,11.35101337341093,2.212124295988294
22039+5949,STT 461,AB,297.0,11.1,67,-4.61888172285722,330.97469426534855,59.815120830766354,65,1927.1621377257713,1304.9151327552172,0.391790564318527,0.024447167687564258,-0.2635869727607707,169,0.0,64468.0,66.24381464410038,-4.55286333326386,330.9727367954714,59.81447738734036,236.82551916816905,4.233158471658816,0.06601838959335993
22039+5949,STT 461,AC,40.0,89.2,93,-4.606624796418059,330.97395411275085,59.81442891624189,103,1851.364507997647,1413.5332224538677,0.394218322744298,0.07936199225436485,-0.26754623561867674,169,0.0,20529.0,30.500618230378887,-3.7107716058522895,331.0058333777392,59.83383532605581,39.53345916329575,90.60184488330071,0.8958531905657692
22039+5949,STT 461,AC,40.0,89.2,94,-4.646101124088272,330.97397312953285,59.81493357476599,103,1851.364507997647,1413.5332224538677,0.394218322744298,0.07936199225436485,-0.26754623561867674,169,0.0,20529.0,30.500618230378887,-3.7107716058522895,331.0058333777392,59.83383532605581,40.25936416587552,89.18590214085944,0.9353295182359824
22039+5949,STT 461,AC,40.0,89.2,87,-4.637942232502476,330.97335567984896,59.81474392346769,97,1849.4764772911265,1413.5191830290519,0.34348884035228056,0.012725604160779011,-0.15743400820973114,169,0.0,17159.0,24.388256201385783,-3.467951871716069,331.0057853234103,59.833845816758256,40.462237503162356,90.40235162810652,1.1699903607864068
22039+5949,STT 461,AC,40.0,89.2,88,-4.636882825794486,330.97392873368557,59.81440999411353,97,1849.4764772911265,1413.5191830290519,0.34348884035228056,0.012725604160779011,-0.15743400820973114,169,0.0,17159.0,24.388256201385783,-3.467951871716069,331.0057853234103,59.833845816758256,39.47086676664166,90.65742664035898,1.1689309540784172
